user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_counts,final_score
007_Investing,1.4298987239838597e+18,0.0,0.0,1.0,0.0,1.4298987239838597e+18,0.0,0.0,0.0,1,0.0
007mindset,1.2777131900755063e+19,1.0,2.0,8.0,0.0,1.2777131900755063e+19,0.0,0.0,1.0,9,11.11111111111111
0905sunshine,1.4132197434363167e+18,0.0,0.0,0.0,0.0,1.4132197434363167e+18,0.0,0.0,0.0,1,0.0
0xKDTradingETH,2.849187469502337e+18,0.0,0.0,0.0,0.0,2.849187469502337e+18,0.0,0.0,0.0,2,0.0
0xKnightz,1.414905067371696e+18,0.0,0.0,0.0,0.0,1.414905067371696e+18,0.0,0.0,0.0,1,0.0
100_uhmillion,5.713535052925202e+18,0.0,1.0,16.0,4.0,5.713535052925202e+18,0.0,0.0,0.0,4,0.0
10TrillionUSDT,2.292563009273851e+19,1.0,22.0,15.0,3.0,2.292563009273851e+19,0.0,0.0,0.0,16,0.0
15minofPham,5.397835613283117e+19,9.0,9.0,39.0,0.0,5.397835613283117e+19,0.0,0.0,3.0,38,7.894736842105263
160kmferrari,2.869709406376456e+18,0.0,0.0,0.0,0.0,2.869709406376456e+18,0.0,0.0,0.0,2,0.0
17296Jay18416,4.241222615521759e+18,0.0,0.0,12.0,0.0,4.241222615521759e+18,0.0,0.0,0.0,3,0.0
1991Wolfpack,1.2754019761248113e+19,6.0,4.0,21.0,0.0,1.2753528991291105e+19,0.0,1.1342350238183133e+19,1.0,9,11.11111111111111
1DannyStewart,2.849008146371666e+18,0.0,1.0,2.0,0.0,2.849008146371666e+18,0.0,0.0,0.0,2,0.0
1GGBEACH,1.4168446387664732e+18,0.0,2.0,4.0,0.0,1.4098725407602196e+18,0.0,1.4100442748723937e+18,0.0,1,0.0
1SOUL4JAH,1.4244343676825969e+18,0.0,0.0,0.0,0.0,1.424433086020866e+18,0.0,1.424433086020866e+18,0.0,1,0.0
1Scott_Peters,4.245434110409257e+18,12.0,0.0,9.0,0.0,4.2433160614596403e+18,0.0,2.8297670853802066e+18,0.0,3,0.0
1Sweza,2.8528051031876977e+18,1.0,0.0,0.0,0.0,2.8528051031876977e+18,0.0,0.0,0.0,2,0.0
1speculator,4.281552346346877e+18,0.0,0.0,0.0,3.0,4.281552346346877e+18,0.0,0.0,0.0,3,0.0
1stsmartercheat,7.102745804014596e+18,1.0,5.0,0.0,1.0,7.102745804014596e+18,0.0,0.0,0.0,5,0.0
2021Deals,9.947636902878257e+18,2.0,4.0,14.0,0.0,9.947636902878257e+18,0.0,0.0,1.0,7,14.285714285714285
21JorgeMorales,1.429805603690623e+18,0.0,0.0,0.0,0.0,1.429805603690623e+18,0.0,0.0,0.0,1,0.0
247WallSt,5.732322357555233e+18,1.0,1.0,0.0,0.0,5.732322357555233e+18,0.0,0.0,0.0,4,0.0
25k_Trading,2.845182477053219e+18,1.0,0.0,0.0,0.0,2.845182477053219e+18,0.0,0.0,0.0,2,0.0
2929brad,1.4302285242297016e+18,1.0,0.0,0.0,0.0,1.430227857951789e+18,0.0,1.430227857951789e+18,0.0,1,0.0
305JCR,2.8677477058716877e+18,0.0,1.0,0.0,0.0,2.867721546811392e+18,0.0,2.867721546811392e+18,0.0,2,0.0
30daygrowth,2.860516549522776e+18,1.0,0.0,1.0,0.0,2.860516549522776e+18,0.0,0.0,1.0,2,50.0
316Crypto,1.4382291641133466e+18,2.0,0.0,1.0,0.0,1.4375494640430162e+18,0.0,1.438228649761706e+18,0.0,1,0.0
32Trades,1.4156748597328814e+18,0.0,0.0,0.0,0.0,1.4156748597328814e+18,0.0,0.0,0.0,1,0.0
360tradingview,1.4175830386035548e+18,0.0,1.0,5.0,0.0,1.4175830386035548e+18,0.0,0.0,0.0,1,0.0
361Capital,1.4204941139300393e+18,0.0,0.0,1.0,0.0,1.4204941139300393e+18,0.0,0.0,0.0,1,0.0
3PJ2P,1.4169308428536586e+18,0.0,0.0,2.0,0.0,1.4169148543596667e+18,0.0,1.4169265964520858e+18,0.0,1,0.0
3PeaksTrading,5.703642987986555e+18,8.0,6.0,48.0,0.0,5.703642987986555e+18,0.0,0.0,0.0,4,0.0
3TriggersTrader,1.4380957439113503e+18,0.0,0.0,0.0,0.0,1.4380957439113503e+18,0.0,0.0,1.0,1,100.0
3aliyon,1.4165570589761004e+18,0.0,0.0,0.0,0.0,1.4165565778263e+18,0.0,1.4165565778263e+18,0.0,1,0.0
3ruletrading,1.4313741704582554e+18,0.0,2.0,0.0,0.0,1.4313741704582554e+18,0.0,0.0,0.0,1,0.0
4CupsofT,1.41249984638933e+18,0.0,0.0,0.0,0.0,1.41249984638933e+18,0.0,0.0,0.0,1,0.0
