user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_count,result_counts,final_score,user_names
0Wva1I6IVP2zyHW,1.4330718704467517e+18,0.0,0.0,0.0,0.0,1.4330718704467517e+18,0.0,0.0,0.0,1,1,0.0,0Wva1I6IVP2zyHW
0xdystopian,1.4178348759989862e+18,0.0,0.0,0.0,0.0,1.4178348759989862e+18,0.0,0.0,0.0,1,1,0.0,0xdystopian
10kaito13,1.3614445436991857e+18,1.0,0.0,5.0,0.0,1.3614445436991857e+18,0.0,0.0,0.0,1,1,0.0,10kaito13
16WK7CPnvAjDsxR,1.3897162019583508e+18,0.0,0.0,18.0,0.0,1.3897162019583508e+18,0.0,0.0,0.0,1,1,0.0,16WK7CPnvAjDsxR
19_properties,1.4329121760171295e+18,1.0,0.0,1.0,0.0,1.43279920885624e+18,0.0,1.43279920885624e+18,0.0,1,1,0.0,19_properties
1Dailystocktip,9.790636409027883e+18,0.0,0.0,1.0,0.0,9.790636409027883e+18,0.0,0.0,0.0,7,7,0.0,1Dailystocktip
1DannyStewart,2.867377011552092e+18,0.0,0.0,5.0,0.0,2.867377011552092e+18,0.0,0.0,0.0,2,2,0.0,1DannyStewart
1LoveDev,1.4135154650501325e+18,0.0,0.0,0.0,0.0,1.4135154650501325e+18,0.0,0.0,0.0,1,1,0.0,1LoveDev
1MOST8WANTED7,1.4013798904197038e+18,0.0,0.0,0.0,0.0,1.4013792315909857e+18,0.0,1.4013795394150769e+18,0.0,1,1,0.0,1MOST8WANTED7
1Powerplayer,6.949681836921111e+18,0.0,0.0,1.0,0.0,6.949681836921111e+18,0.0,0.0,1.0,5,5,20.0,1Powerplayer
1_echelon,1.394282148874576e+18,0.0,1.0,1.0,0.0,1.394282148874576e+18,0.0,0.0,0.0,1,1,0.0,1_echelon
1d9s1t3,1.3895895678884987e+18,0.0,0.0,0.0,0.0,1.3895895678884987e+18,0.0,0.0,0.0,1,1,0.0,1d9s1t3
1nfinityTrades,1.384144517654192e+18,0.0,0.0,1.0,0.0,1.384144517654192e+18,0.0,0.0,0.0,1,1,0.0,1nfinityTrades
2021_HY,1.122915305937707e+19,1.0,7.0,48.0,3.0,1.122915305937707e+19,0.0,0.0,0.0,8,8,0.0,2021_HY
21JorgeMorales,1.3712780079823012e+18,0.0,0.0,1.0,0.0,1.3712780079823012e+18,0.0,0.0,0.0,1,1,0.0,21JorgeMorales
2525suman,2.8726126051187753e+18,3.0,0.0,34.0,0.0,2.8726126051187753e+18,0.0,0.0,0.0,2,2,0.0,2525suman
2PInvestLtd1,1.407767107090137e+18,0.0,0.0,0.0,0.0,1.407767107090137e+18,0.0,0.0,0.0,1,1,0.0,2PInvestLtd1
2dayT,1.362084237436928e+18,0.0,0.0,0.0,0.0,1.362084237436928e+18,0.0,0.0,0.0,1,1,0.0,2dayT
2fp_s,1.4236291539416883e+18,0.0,0.0,0.0,0.0,1.4236291539416883e+18,0.0,0.0,1.0,1,1,100.0,2fp_s
2housemokusei,1.3982743539726705e+18,0.0,0.0,3.0,0.0,1.3982743539726705e+18,0.0,0.0,0.0,1,1,0.0,2housemokusei
3040FIRE2,2.808158862696825e+18,1.0,0.0,7.0,1.0,2.808158862696825e+18,0.0,0.0,0.0,2,2,0.0,3040FIRE2
360tradingview,2.84604329561328e+18,0.0,1.0,4.0,0.0,2.84604329561328e+18,0.0,0.0,0.0,2,2,0.0,360tradingview
365dayspto,2.8047472688605143e+18,0.0,0.0,1.0,0.0,2.8047472688605143e+18,0.0,0.0,0.0,2,2,0.0,365dayspto
36ByH8jsZlvri8k,1.3820816144909967e+18,0.0,0.0,2.0,0.0,1.3820816144909967e+18,0.0,0.0,0.0,1,1,0.0,36ByH8jsZlvri8k
3Stocksaday,1.4152117883004273e+18,0.0,0.0,5.0,0.0,1.4152117883004273e+18,0.0,0.0,0.0,1,1,0.0,3Stocksaday
3X_ETF,1.3696628222804255e+18,0.0,0.0,1.0,0.0,1.3696628222804255e+18,0.0,0.0,0.0,1,1,0.0,3X_ETF
3Xtraders,2.872724887891124e+18,1.0,0.0,0.0,0.0,2.8727247062526034e+18,0.0,1.4363623531263017e+18,0.0,2,2,0.0,3Xtraders
403kwanner,1.4189768453919252e+18,0.0,0.0,0.0,0.0,1.4189768453919252e+18,0.0,0.0,0.0,1,1,0.0,403kwanner
40four4s,1.40733187698185e+18,0.0,0.0,0.0,0.0,1.40733187698185e+18,0.0,0.0,0.0,1,1,0.0,40four4s
416ash,2.821641159173972e+18,0.0,0.0,0.0,1.0,2.821641159173972e+18,0.0,0.0,1.0,2,2,50.0,416ash
420mktg,1.419721573024641e+18,0.0,0.0,0.0,0.0,1.419721573024641e+18,0.0,0.0,0.0,1,1,0.0,420mktg
43Deradera,4.601509847096518e+19,11.0,1.0,274.0,0.0,4.601487887541523e+19,0.0,2.767552336127185e+18,0.0,33,33,0.0,43Deradera
4453386297,1.3642047115412316e+18,0.0,0.0,0.0,0.0,1.3641746114543165e+18,0.0,1.3641746114543163e+18,0.0,1,1,0.0,4453386297
44yarunaraIMA,1.358987169805738e+18,0.0,0.0,0.0,0.0,1.358987169805738e+18,0.0,0.0,0.0,1,1,0.0,44yarunaraIMA
4adybug,1.437044294234239e+18,0.0,0.0,1.0,0.0,1.437044294234239e+18,0.0,0.0,0.0,1,1,0.0,4adybug
4thStInvesting,1.386668598089986e+18,0.0,0.0,1.0,0.0,1.386668598089986e+18,0.0,0.0,1.0,1,1,100.0,4thStInvesting
50FI_challenge,2.8391819613575455e+18,0.0,0.0,2.0,1.0,2.8391819613575455e+18,0.0,0.0,0.0,2,2,0.0,50FI_challenge
5500mk,1.4330160428470395e+18,0.0,0.0,12.0,0.0,1.4330160428470395e+18,0.0,0.0,0.0,1,1,0.0,5500mk
5loaf,1.3657023286077686e+18,0.0,0.0,2.0,1.0,1.3657023286077686e+18,0.0,0.0,0.0,1,1,0.0,5loaf
5moke5creen,1.4176437001722962e+18,0.0,0.0,0.0,0.0,1.4176437001722962e+18,0.0,0.0,0.0,1,1,0.0,5moke5creen
67llDFggIbsi45a,1.423617061348012e+18,0.0,0.0,1.0,0.0,1.423617061348012e+18,0.0,0.0,0.0,1,1,0.0,67llDFggIbsi45a
69CryptoCuck69,1.4013420874428006e+18,0.0,0.0,0.0,0.0,1.4013420874428006e+18,0.0,0.0,0.0,1,1,0.0,69CryptoCuck69
818Ventures,1.3766354563773522e+18,1.0,0.0,0.0,0.0,1.376635452459864e+18,0.0,1.376635454569648e+18,0.0,1,1,0.0,818Ventures
8Chartist,1.406012426147881e+18,0.0,0.0,0.0,0.0,1.406012426147881e+18,0.0,0.0,0.0,1,1,0.0,8Chartist
8_yuce,7.107348802686775e+18,0.0,0.0,1.0,0.0,7.107348802686775e+18,0.0,0.0,0.0,5,5,0.0,8_yuce
8hjo241xTkleRxu,1.3573426563433308e+18,0.0,0.0,0.0,0.0,1.3573414032237855e+18,0.0,1.3573414032237855e+18,0.0,1,1,0.0,8hjo241xTkleRxu
96season,1.3651207175624704e+18,0.0,0.0,0.0,0.0,1.365118092381016e+18,0.0,1.365118092381016e+18,0.0,1,1,0.0,96season
9lgfmZLOVTrV0uP,4.1426635577684296e+18,0.0,0.0,4.0,0.0,4.1426635577684296e+18,0.0,0.0,0.0,3,3,0.0,9lgfmZLOVTrV0uP
AAATrade,5.557797551729324e+18,0.0,0.0,2.0,0.0,5.557797551729324e+18,0.0,0.0,1.0,4,4,25.0,AAATrade
AAPLFIRE,1.3623869407004877e+18,0.0,0.0,0.0,0.0,1.3623869407004877e+18,0.0,0.0,0.0,1,1,0.0,AAPLFIRE
AAPL_moves,6.982005090046902e+19,0.0,13.0,62.0,0.0,6.982005090046902e+19,0.0,0.0,0.0,49,49,0.0,AAPL_moves
AAPL_network,6.999811258127159e+18,3.0,0.0,2.0,0.0,6.999811253945389e+18,0.0,1.361360652745466e+18,0.0,5,5,0.0,AAPL_network
AAPLsilicon,2.1939642306909828e+20,6.0,3.0,83.0,3.0,2.1939642305948923e+20,0.0,4.1134655991062856e+18,2.0,157,157,1.2738853503184715,AAPLsilicon
