Date,Open,High,Low,Close,Volume
2019 Oct 02 05:40 Wed,114.859735345,114.859735345,114.859735345,114.859735345,460
2019 Oct 02 07:05 Wed,114.63198967,114.63198967,114.63198967,114.63198967,300
2019 Oct 02 07:20 Wed,114.63198967,114.63198967,114.63198967,114.63198967,969
2019 Oct 02 07:45 Wed,114.707904895,114.707904895,114.707904895,114.707904895,770
2019 Oct 02 07:50 Wed,114.584542655,114.584542655,114.584542655,114.584542655,1062
2019 Oct 02 07:55 Wed,114.63198967,114.63198967,114.63198967,114.63198967,200
2019 Oct 02 08:00 Wed,114.698415492,114.698415492,114.698415492,114.698415492,100
2019 Oct 02 08:05 Wed,114.63198967,114.63198967,114.63198967,114.63198967,1526
2019 Oct 02 08:15 Wed,114.897692958,114.897692958,114.726883701,114.726883701,380
2019 Oct 02 08:20 Wed,114.774330717,114.774330717,114.774330717,114.774330717,2078
2019 Oct 02 08:30 Wed,114.821777733,115.011565795,114.78382012,115.011565795,550
2019 Oct 02 08:35 Wed,115.011565795,115.011565795,115.011565795,115.011565795,545
2019 Oct 02 08:40 Wed,114.869224748,114.869224748,114.726883701,114.745862508,1131
2019 Oct 02 08:45 Wed,114.726883701,114.726883701,114.603521461,114.603521461,1396
2019 Oct 02 08:55 Wed,114.66045788,114.66045788,114.494678007,114.494678007,424
2019 Oct 02 09:00 Wed,114.556074445,114.556074445,114.518116833,114.518116833,550
2019 Oct 02 09:05 Wed,114.499138027,114.499138027,114.499138027,114.499138027,378
2019 Oct 02 09:10 Wed,114.698415492,114.698415492,114.537095639,114.537095639,1065
2019 Oct 02 09:15 Wed,114.584542655,114.603521461,114.584542655,114.603521461,1203
2019 Oct 02 09:20 Wed,114.489648623,114.518116833,114.489648623,114.518116833,966
2019 Oct 02 09:25 Wed,114.63198967,114.63198967,114.63198967,114.63198967,1000
2019 Oct 02 09:30 Wed,115.144417439,115.153906842,114.831267136,114.850245942,3408
2019 Oct 02 09:35 Wed,114.964118779,115.467057145,114.50957637,114.546585042,209053
2019 Oct 02 09:40 Wed,114.499138027,115.021055198,114.20496653,114.408988697,96536
2019 Oct 02 09:45 Wed,114.408988697,114.584542655,114.271487246,114.526657296,44852
2019 Oct 02 09:50 Wed,114.461180414,115.049523407,114.366286383,114.748709329,70829
2019 Oct 02 09:55 Wed,114.726883701,114.992586989,114.533015196,114.698415492,50015
2019 Oct 02 10:00 Wed,114.66045788,114.78382012,114.385265189,114.745862508,54630
2019 Oct 02 10:05 Wed,114.707904895,114.950738721,114.499138027,114.950738721,89745
2019 Oct 02 10:10 Wed,114.93565057,115.381652517,114.93565057,115.153906842,83626
2019 Oct 02 10:15 Wed,115.115949229,115.552461773,115.049523407,115.448078338,46402
2019 Oct 02 10:20 Wed,115.419610129,115.609398191,115.39114192,115.591368325,44247
2019 Oct 02 10:25 Wed,115.576185281,115.628376998,115.296247889,115.296247889,49948
2019 Oct 02 10:30 Wed,115.258290276,115.467057145,115.191864454,115.305737292,53018
2019 Oct 02 10:35 Wed,115.305737292,115.305737292,114.793309523,114.907182361,76561
2019 Oct 02 10:40 Wed,114.878714151,115.009667914,114.669947283,114.812288329,68981
2019 Oct 02 10:45 Wed,114.859735345,114.964118779,114.726883701,114.750607209,51708
2019 Oct 02 10:50 Wed,114.755351911,114.774330717,114.48015922,114.556074445,54899
2019 Oct 02 10:55 Wed,114.518116833,114.983097586,114.512423191,114.983097586,32806
2019 Oct 02 11:00 Wed,115.030544601,115.115949229,114.840756539,114.964118779,49081
2019 Oct 02 11:05 Wed,114.964118779,115.201353857,114.897692958,115.106459826,44086
2019 Oct 02 11:10 Wed,115.106459826,115.134643353,114.926161167,114.926161167,72820
2019 Oct 02 11:15 Wed,114.878714151,114.888203554,114.470669817,114.48015922,68242
2019 Oct 02 11:20 Wed,114.488699683,114.584542655,114.318839367,114.584542655,45468
2019 Oct 02 11:25 Wed,114.594032058,114.755351911,114.470669817,114.688926089,43699
2019 Oct 02 11:30 Wed,114.694524837,114.707904895,114.48015922,114.527606236,54310
2019 Oct 02 11:35 Wed,114.527606236,114.546585042,114.176498321,114.195477127,35762
2019 Oct 02 11:40 Wed,114.223945336,114.413733399,114.110072499,114.413733399,34865
2019 Oct 02 11:45 Wed,114.379761335,114.726883701,114.347307577,114.676684759,110857
2019 Oct 02 11:50 Wed,114.707904895,114.707904895,114.280881755,114.318839367,39874
2019 Oct 02 11:55 Wed,114.337818174,114.489648623,114.299860561,114.48015922,37081
2019 Oct 02 12:00 Wed,114.464311917,114.584542655,114.223945336,114.290371158,32047
2019 Oct 02 12:05 Wed,114.271392352,114.271392352,114.091093692,114.219390423,34613
2019 Oct 02 12:10 Wed,114.233434739,114.252413545,114.138540708,114.195477127,17093
2019 Oct 02 12:15 Wed,114.20496653,114.20496653,113.971052743,114.005689064,30217
2019 Oct 02 12:20 Wed,114.005689064,114.043646677,113.929773839,114.005689064,16644
2019 Oct 02 12:25 Wed,113.986710258,113.986710258,113.844369211,113.882326824,70652
2019 Oct 02 12:30 Wed,113.882896188,113.977220855,113.863348018,113.920284436,24280
2019 Oct 02 12:35 Wed,113.910795033,113.934518541,113.863348018,113.872837421,21954
2019 Oct 02 12:40 Wed,113.863348018,113.90130563,113.59764473,113.656573924,36082
2019 Oct 02 12:45 Wed,113.654581149,113.692538762,113.531218908,113.645091746,19783
2019 Oct 02 12:50 Wed,113.692538762,113.711517568,113.502750699,113.512240102,21452
2019 Oct 02 12:55 Wed,113.502750699,113.502750699,113.284494427,113.327196741,30668
2019 Oct 02 13:00 Wed,113.303473234,113.512240102,113.246536815,113.426835474,37596
2019 Oct 02 13:05 Wed,113.379388459,113.665778645,113.303473234,113.642529607,24780
2019 Oct 02 13:10 Wed,113.62611294,113.730496374,113.483771893,113.654581149,28644
2019 Oct 02 13:15 Wed,113.654581149,113.77794339,113.59764473,113.683049358,17570
2019 Oct 02 13:20 Wed,113.668815254,113.711517568,113.616623537,113.668815254,15376
2019 Oct 02 13:25 Wed,113.654581149,113.692538762,113.573826328,113.607134133,18349
2019 Oct 02 13:30 Wed,113.635602343,113.77794339,113.635602343,113.683049358,15929
2019 Oct 02 13:35 Wed,113.673559955,113.739985777,113.502750699,113.540708312,22157
2019 Oct 02 13:40 Wed,113.540708312,113.739985777,113.483771893,113.721006971,68001
2019 Oct 02 13:45 Wed,113.739985777,113.948752646,113.730496374,113.825390405,50603
2019 Oct 02 13:50 Wed,113.834879808,113.834879808,113.664070552,113.664070552,26543
2019 Oct 02 13:55 Wed,113.702028165,113.730496374,113.611878835,113.635602343,17557
2019 Oct 02 14:00 Wed,113.616623537,113.882326824,113.616623537,113.844369211,27249
