Date,Open,High,Low,Close,Volume
2019 Oct 02 04:50 Wed,128.149596632,128.149596632,128.149596632,128.149596632,100
2019 Oct 02 04:55 Wed,128.099895423,128.099895423,128.099895423,128.099895423,100
2019 Oct 02 05:10 Wed,128.08001494,128.08001494,128.08001494,128.08001494,100
2019 Oct 02 05:25 Wed,128.169477115,128.169477115,128.13965639,128.13965639,329
2019 Oct 02 05:35 Wed,128.060134456,128.060134456,128.060134456,128.060134456,303
2019 Oct 02 05:45 Wed,127.980612522,127.980612522,127.980612522,127.980612522,125
2019 Oct 02 06:00 Wed,127.990552764,127.990552764,127.980612522,127.980612522,373
2019 Oct 02 07:00 Wed,127.940851555,127.940851555,127.940851555,127.940851555,817
2019 Oct 02 07:05 Wed,127.940851555,128.000493006,127.881210105,127.881210105,1639
2019 Oct 02 07:10 Wed,127.881210105,127.881210105,127.881210105,127.881210105,600
2019 Oct 02 07:15 Wed,127.881210105,127.881210105,127.881210105,127.881210105,2470
2019 Oct 02 07:45 Wed,128.229118566,128.229118566,128.229118566,128.229118566,1000
2019 Oct 02 08:05 Wed,128.129716148,128.676429445,127.851389379,128.000493006,2552
2019 Oct 02 08:15 Wed,128.209238082,128.209238082,128.209238082,128.209238082,160
2019 Oct 02 08:20 Wed,128.229118566,128.229118566,128.229118566,128.229118566,280
2019 Oct 02 08:25 Wed,128.229118566,128.229118566,128.208244058,128.208244058,676
2019 Oct 02 08:30 Wed,128.229217968,128.229217968,128.229217968,128.229217968,151
2019 Oct 02 08:35 Wed,128.527325818,128.527325818,128.527325818,128.527325818,100
2019 Oct 02 08:40 Wed,128.378222192,128.378222192,128.348401467,128.348401467,1175
2019 Oct 02 08:45 Wed,128.129716148,128.129716148,128.129716148,128.129716148,100
2019 Oct 02 08:50 Wed,128.179417357,128.179417357,128.179417357,128.179417357,262
2019 Oct 02 08:55 Wed,128.179417357,128.179417357,128.179417357,128.179417357,350
2019 Oct 02 09:00 Wed,128.089955181,128.089955181,127.891150346,127.891150346,951
2019 Oct 02 09:05 Wed,127.851389379,127.940851555,127.834192761,127.940851555,1367
2019 Oct 02 09:10 Wed,127.871269863,128.030313731,127.871269863,128.030313731,1733
2019 Oct 02 09:15 Wed,128.020870501,128.020870501,127.920971072,127.940851555,1302
2019 Oct 02 09:20 Wed,127.930911313,127.930911313,127.930911313,127.930911313,188
2019 Oct 02 09:25 Wed,128.070074698,128.070074698,128.070074698,128.070074698,464
2019 Oct 02 09:30 Wed,128.219178324,128.229118566,127.732106478,127.732106478,2481
2019 Oct 02 09:35 Wed,127.74204672,127.920971072,127.254974874,127.831508896,624635
2019 Oct 02 09:40 Wed,127.886180225,127.886180225,127.324556567,127.339466929,210028
2019 Oct 02 09:45 Wed,127.334496808,127.861329621,127.066110281,127.582704645,332160
2019 Oct 02 09:50 Wed,127.563122369,127.851389379,127.475648241,127.751986962,177601
2019 Oct 02 09:55 Wed,127.751986962,127.871269863,127.57306261,127.851389379,111007
2019 Oct 02 10:00 Wed,127.861329621,128.219178324,127.68240527,128.189357599,135904
2019 Oct 02 10:05 Wed,128.159536874,128.169477115,127.940851555,128.040253973,94863
2019 Oct 02 10:10 Wed,128.070074698,128.295320576,128.045224093,128.159536874,111731
2019 Oct 02 10:15 Wed,128.109835665,128.13965639,127.901090588,128.000493006,61290
2019 Oct 02 10:20 Wed,128.000493006,128.129716148,127.97067228,128.087271316,51939
2019 Oct 02 10:25 Wed,128.072162149,128.161425519,127.891150346,127.891150346,59892
2019 Oct 02 10:30 Wed,127.881210105,127.91103083,127.74204672,127.766897324,87514
2019 Oct 02 10:35 Wed,127.761927204,127.761927204,127.324556567,127.34443705,97675
2019 Oct 02 10:40 Wed,127.345729282,127.414018742,127.185393182,127.240064512,109331
2019 Oct 02 10:45 Wed,127.235094391,127.235094391,126.936887138,127.105871248,186772
2019 Oct 02 10:50 Wed,127.076050523,127.076050523,126.807663996,126.847424963,126577
2019 Oct 02 10:55 Wed,126.830327747,127.046229798,126.827544479,126.966707864,98993
2019 Oct 02 11:00 Wed,126.986588347,127.135691973,126.88718593,126.924461836,93204
2019 Oct 02 11:05 Wed,126.88718593,127.364317534,126.867305446,127.354377292,71732
2019 Oct 02 11:10 Wed,127.364317534,127.632704061,127.34443705,127.604771982,83645
2019 Oct 02 11:15 Wed,127.614712223,127.614712223,127.254974874,127.354377292,60015
2019 Oct 02 11:20 Wed,127.364317534,127.503480918,127.279825479,127.453779709,86388
2019 Oct 02 11:25 Wed,127.483600435,127.533301643,127.348413147,127.533301643,74713
2019 Oct 02 11:30 Wed,127.520180524,127.533699253,127.354377292,127.379227896,59970
2019 Oct 02 11:35 Wed,127.354377292,127.443839468,127.205273666,127.264915116,64332
2019 Oct 02 11:40 Wed,127.274855358,127.414018742,127.17545294,127.354377292,78197
2019 Oct 02 11:45 Wed,127.354377292,127.453779709,127.245034633,127.283105759,74477
