Date,Open,High,Low,Close,Volume
2019 Oct 02 07:05 Wed,40.8301036942,40.8301036942,40.8301036942,40.8301036942,1056
2019 Oct 02 07:45 Wed,40.7134462551,40.7134462551,40.7134462551,40.7134462551,200
2019 Oct 02 08:05 Wed,40.8929192383,40.8929192383,40.8929192383,40.8929192383,292
2019 Oct 02 08:40 Wed,40.7852354484,40.7852354484,40.7852354484,40.7852354484,1000
2019 Oct 02 08:45 Wed,40.8301036942,40.8301036942,40.8301036942,40.8301036942,225
2019 Oct 02 08:50 Wed,40.8301036942,40.8301036942,40.8301036942,40.8301036942,150
2019 Oct 02 08:55 Wed,40.8301036942,40.8301036942,40.7134462551,40.7134462551,512
2019 Oct 02 09:15 Wed,40.596788816,40.596788816,40.596788816,40.596788816,400
2019 Oct 02 09:20 Wed,40.5608942193,40.5608942193,40.5608942193,40.5608942193,225
2019 Oct 02 09:25 Wed,40.5608942193,40.5608942193,40.5608942193,40.5608942193,775
2019 Oct 02 09:30 Wed,40.5519205701,40.596788816,40.2019482528,40.2019482528,5053
2019 Oct 02 09:35 Wed,40.0852908136,40.2827110952,39.887870532,39.941712427,288376
2019 Oct 02 09:40 Wed,39.9282519533,40.2827110952,39.8071076896,40.1436195332,82286
2019 Oct 02 09:45 Wed,40.103238112,40.1840009544,39.9327387778,39.941712427,83592
2019 Oct 02 09:50 Wed,39.9596597253,40.1524137094,39.9327387778,40.1122117611,79439
2019 Oct 02 09:55 Wed,40.103238112,40.3186056919,40.0763171645,40.1604002571,70854
2019 Oct 02 10:00 Wed,40.1840009544,40.2019482528,40.049396217,40.103238112,89275
2019 Oct 02 10:05 Wed,40.0942644628,40.2916847444,39.9776070237,40.2513033232,105467
2019 Oct 02 10:10 Wed,40.3005686571,40.5339732718,40.2647637969,40.4621840785,44800
2019 Oct 02 10:15 Wed,40.4532104293,40.5072317973,40.4173158327,40.4665811666,43529
2019 Oct 02 10:20 Wed,40.489105026,40.5205127981,40.4532104293,40.4711577277,49962
2019 Oct 02 10:25 Wed,40.4801313768,40.5339732718,40.4173158327,40.4384936447,36015
2019 Oct 02 10:30 Wed,40.4173158327,40.5070523243,40.3709220665,40.4532104293,43671
2019 Oct 02 10:35 Wed,40.4262894818,40.4262894818,40.1122117611,40.1580671083,45118
2019 Oct 02 10:40 Wed,40.1840009544,40.2207031795,40.0942644628,40.1570800069,36955
2019 Oct 02 10:45 Wed,40.1660536561,40.2198955511,40.1211854103,40.14011981,32024
2019 Oct 02 10:50 Wed,40.1463116279,40.1595028922,40.0408712503,40.0583698661,25556
2019 Oct 02 10:55 Wed,40.0405123043,40.1840009544,40.0404225678,40.1840009544,55866
2019 Oct 02 11:00 Wed,40.1840009544,40.188487779,40.0852908136,40.1211854103,42927
2019 Oct 02 11:05 Wed,40.103238112,40.2318305045,40.0896879017,40.1840009544,36886
