Date,Open,High,Low,Close,Volume
2019 Oct 02 04:10 Wed,147.980441348,147.980441348,147.980441348,147.980441348,373
2019 Oct 02 04:15 Wed,147.663006963,147.663006963,147.663006963,147.663006963,204
2019 Oct 02 04:25 Wed,147.60698913,147.60698913,147.597652825,147.597652825,200
2019 Oct 02 05:35 Wed,146.97212036,146.97212036,146.813403167,146.822739473,760
2019 Oct 02 05:45 Wed,146.505305088,146.551986615,146.486632477,146.533314004,1200
2019 Oct 02 05:50 Wed,146.570659226,146.570659226,146.486632477,146.551986615,625
2019 Oct 02 06:00 Wed,146.813403167,146.813403167,146.579995531,146.579995531,651
2019 Oct 02 06:10 Wed,146.486632477,146.486632477,146.486632477,146.486632477,150
2019 Oct 02 06:25 Wed,146.393269422,146.393269422,146.393269422,146.393269422,1500
2019 Oct 02 06:40 Wed,147.046810804,147.046810804,147.037474498,147.037474498,400
2019 Oct 02 07:05 Wed,146.533314004,146.533314004,146.393269422,146.393269422,728
2019 Oct 02 07:10 Wed,146.383933117,146.383933117,146.383933117,146.383933117,594
2019 Oct 02 07:35 Wed,146.570659226,146.570659226,146.570659226,146.570659226,500
2019 Oct 02 07:40 Wed,146.533314004,146.56132292,146.533314004,146.56132292,400
2019 Oct 02 08:00 Wed,146.570659226,146.570659226,146.570659226,146.570659226,400
2019 Oct 02 08:05 Wed,146.206636676,146.598668142,146.206543313,146.589331837,2066
2019 Oct 02 08:10 Wed,146.533314004,146.533314004,146.533314004,146.533314004,320
2019 Oct 02 08:20 Wed,146.76672164,146.76672164,146.393269422,146.45862356,1204
2019 Oct 02 09:05 Wed,146.570659226,146.570659226,146.570659226,146.570659226,143
2019 Oct 02 09:20 Wed,146.570659226,146.570659226,146.551986615,146.551986615,463
2019 Oct 02 09:35 Wed,146.636013364,146.785394251,145.945126761,145.945126761,137906
2019 Oct 02 09:40 Wed,145.963799372,146.169198091,145.249385279,145.599683459,60552
2019 Oct 02 09:45 Wed,145.468975183,146.636013364,145.198222325,145.524993016,41671
2019 Oct 02 09:50 Wed,145.51565671,145.665037597,145.366275823,145.641696834,35623
2019 Oct 02 09:55 Wed,145.660369444,145.711719124,145.384948434,145.510988557,44973
2019 Oct 02 10:00 Wed,145.524993016,145.534329321,145.235567547,145.394284739,39970
2019 Oct 02 10:05 Wed,145.347603212,145.739728041,145.179549714,145.711719124,78067
2019 Oct 02 10:10 Wed,145.739728041,146.150525481,145.739728041,146.13185287,42842
2019 Oct 02 10:15 Wed,146.13185287,146.514641393,146.094507648,146.393269422,30626
