Date,Open,High,Low,Close,Volume
2019 Oct 02 04:50 Wed,117.60254592,117.60254592,117.60254592,117.60254592,489
2019 Oct 02 06:15 Wed,117.364618944,117.364618944,117.355101865,117.355101865,703
2019 Oct 02 06:20 Wed,117.345584786,117.345584786,117.345584786,117.345584786,1000
2019 Oct 02 09:30 Wed,117.155243205,117.155243205,117.060072414,117.060072414,1166
2019 Oct 02 09:35 Wed,117.250413995,117.678682553,117.136209047,117.383653102,373475
2019 Oct 02 09:40 Wed,117.397928721,117.583511762,117.117174888,117.559243211,109127
2019 Oct 02 09:45 Wed,117.554960525,117.659648395,117.174277363,117.19807006,89967
2019 Oct 02 09:50 Wed,117.179035902,117.278965232,117.145726126,117.212345679,48322
2019 Oct 02 09:55 Wed,117.231379837,117.297999391,117.155243205,117.240896916,56902
2019 Oct 02 10:00 Wed,117.231379837,117.345584786,117.144869589,117.30751647,67131
2019 Oct 02 10:05 Wed,117.278965232,117.288482312,116.80311128,116.926833307,141701
2019 Oct 02 10:10 Wed,116.926833307,116.945867465,116.650838015,116.717457568,61489
2019 Oct 02 10:15 Wed,116.717457568,116.765042963,116.59373554,116.59373554,62867
2019 Oct 02 10:20 Wed,116.622286777,116.650838015,116.346291485,116.346291485,62256
2019 Oct 02 10:25 Wed,116.33372894,116.336774406,116.117881587,116.213052378,63794
2019 Oct 02 10:30 Wed,116.19401822,116.251120694,115.851403374,116.060779113,105710
2019 Oct 02 10:35 Wed,116.060779113,116.08933035,115.870437532,116.041744955,101310
2019 Oct 02 10:40 Wed,116.022710797,116.032227876,115.879954611,115.879954611,40299
2019 Oct 02 10:45 Wed,115.875196071,115.875196071,115.603959318,115.7281572,93439
2019 Oct 02 10:50 Wed,115.727681346,115.741100427,115.537339765,115.637269095,85925
2019 Oct 02 10:55 Wed,115.632510555,115.78478382,115.622993476,115.756232583,77222
2019 Oct 02 11:00 Wed,115.727681346,115.927540006,115.727681346,115.756232583,46647
2019 Oct 02 11:05 Wed,115.727681346,115.822852137,115.680095951,115.813335058,56605
2019 Oct 02 11:10 Wed,115.822661795,115.88947169,115.746715504,115.879954611,53711
2019 Oct 02 11:15 Wed,115.88947169,115.88947169,115.727681346,115.775266741,49903
2019 Oct 02 11:20 Wed,115.775266741,115.803817978,115.651544714,115.727681346,42893
2019 Oct 02 11:25 Wed,115.727681346,115.803817978,115.651544714,115.68961303,85889
2019 Oct 02 11:30 Wed,115.680095951,115.68485449,115.499271449,115.499271449,43422
2019 Oct 02 11:35 Wed,115.518305607,115.546856844,115.366032342,115.3850665,68322
