Date,Open,High,Low,Close,Volume
2019 Oct 02 07:05 Wed,210.353405434,210.411597164,210.353405434,210.411597164,650
2019 Oct 02 09:05 Wed,209.684200539,209.684200539,209.509625349,209.509625349,555
2019 Oct 02 09:35 Wed,209.635707431,209.781186756,209.005297022,209.139719918,211752
2019 Oct 02 09:40 Wed,209.121680482,210.081844027,209.117704047,209.74724158,65352
2019 Oct 02 09:45 Wed,209.742392269,210.169131622,209.742392269,209.989707122,57538
2019 Oct 02 09:50 Wed,209.989707122,210.052748162,209.567817079,209.703597782,78768
2019 Oct 02 09:55 Wed,209.655104674,209.839378486,209.499926727,209.592063633,61496
2019 Oct 02 10:00 Wed,209.616310187,209.693802174,208.791927345,209.276858429,129335
2019 Oct 02 10:05 Wed,209.17017359,209.626008809,208.877954119,209.548419836,71047
2019 Oct 02 10:10 Wed,209.587214322,210.149734379,209.587214322,210.110939892,79348
2019 Oct 02 10:15 Wed,210.072145406,210.363104056,209.984857811,210.343706813,60686
2019 Oct 02 10:20 Wed,210.343706813,210.828637896,210.275816461,210.600720287,67602
2019 Oct 02 10:25 Wed,210.634665463,211.37176071,210.557076489,211.206884141,82055
2019 Oct 02 10:30 Wed,211.284473115,211.982773875,211.206884141,211.72091109,91383
2019 Oct 02 10:35 Wed,211.701513847,212.074910781,211.42995244,211.808198685,115295
2019 Oct 02 10:40 Wed,211.808198685,212.351321499,211.691815225,212.196143552,125547
2019 Oct 02 10:45 Wed,212.171896998,212.399814607,212.099157335,212.283431147,53699
2019 Oct 02 10:50 Wed,212.283431147,212.30282839,211.594829008,211.790741166,104044
2019 Oct 02 10:55 Wed,211.711212468,212.205745187,211.497842791,212.170345218,89511
2019 Oct 02 11:00 Wed,212.108855957,212.390115985,211.72091109,211.827595928,80460
2019 Oct 02 11:05 Wed,211.793650752,212.157349065,211.730609712,212.089458713,40867
2019 Oct 02 11:10 Wed,212.07006147,212.390115985,212.031266983,212.264033904,37806
2019 Oct 02 11:15 Wed,212.292159906,212.370718742,211.991308662,212.36102012,133784
2019 Oct 02 11:20 Wed,212.336773566,212.722099805,212.264033904,212.642280149,116903
2019 Oct 02 11:25 Wed,212.59378704,212.748964987,212.370718742,212.632581527,55961
2019 Oct 02 11:30 Wed,212.59378704,212.681074635,212.155506327,212.167047687,59645
2019 Oct 02 11:35 Wed,212.205842174,212.380417364,211.536637278,211.866390415,63146
2019 Oct 02 11:40 Wed,211.885787658,212.01186974,211.391254939,211.914883523,49524
2019 Oct 02 11:45 Wed,211.885787658,212.099157335,211.507541413,211.585130387,54279
2019 Oct 02 11:50 Wed,211.565733143,211.701513847,211.109897925,211.35226648,58083
2019 Oct 02 11:55 Wed,211.265075871,211.42995244,210.967134214,211.170999241,38811
2019 Oct 02 12:00 Wed,211.168089655,211.216582763,210.828637896,210.945021356,28488
2019 Oct 02 12:05 Wed,210.954719978,210.954719978,210.488507234,210.537679246,32951
2019 Oct 02 12:10 Wed,210.523131313,210.896528248,210.484336827,210.729808941,34220
2019 Oct 02 12:15 Wed,210.741350301,210.741350301,210.382501299,210.576473733,21639
2019 Oct 02 12:20 Wed,210.498884759,210.547377868,210.251569907,210.295213704,23605
2019 Oct 02 12:25 Wed,210.324309569,210.324309569,209.975159189,210.013953676,46352
2019 Oct 02 12:30 Wed,210.034999685,210.101241271,209.713296404,210.067296095,29035
2019 Oct 02 12:35 Wed,210.04537721,210.460090273,210.022779421,210.266117839,35412
2019 Oct 02 12:40 Wed,210.207926109,210.363104056,209.994556432,210.169131622,65149
2019 Oct 02 12:45 Wed,210.246720596,210.256419218,210.003091219,210.072145406,24144
2019 Oct 02 12:50 Wed,210.062446784,210.062446784,209.713296404,209.790885377,29627
2019 Oct 02 12:55 Wed,209.752090891,209.984857811,209.655104674,209.800099068,14993
2019 Oct 02 13:00 Wed,209.732693647,210.086596352,209.674501917,210.013953676,29093
2019 Oct 02 13:05 Wed,209.965460567,209.965460567,209.727844336,209.771488134,19551
2019 Oct 02 13:10 Wed,209.720182425,210.188528866,209.635707431,210.149734379,39596
2019 Oct 02 13:15 Wed,210.159433001,210.586172354,210.130337136,210.334008191,99155
2019 Oct 02 13:20 Wed,210.334008191,210.421295786,210.198227487,210.198227487,41925
2019 Oct 02 13:25 Wed,210.207926109,210.295213704,209.994556432,210.072145406,33865
2019 Oct 02 13:30 Wed,210.062446784,210.300063015,210.033350919,210.207926109,20690
2019 Oct 02 13:35 Wed,210.188528866,210.217624731,209.887871594,209.948584966,22942
2019 Oct 02 13:40 Wed,209.92181677,210.081844027,209.781186756,209.849077107,30593
2019 Oct 02 13:45 Wed,209.819981242,209.994556432,209.742392269,209.839378486,20074
2019 Oct 02 13:50 Wed,209.810282621,209.810282621,209.354447402,209.398576131,20900
2019 Oct 02 13:55 Wed,209.393241889,209.393241889,209.17017359,209.300135121,20344
2019 Oct 02 14:00 Wed,209.301104983,209.480529484,209.28655705,209.437079659,26543
2019 Oct 02 14:05 Wed,209.40294051,209.470830862,209.05379013,209.427187065,37943
2019 Oct 02 14:10 Wed,209.393241889,209.441734997,209.189570834,209.28655705,27820
2019 Oct 02 14:15 Wed,209.325351537,209.451433619,209.179872212,209.238063942,33917
2019 Oct 02 14:20 Wed,209.335050159,209.441734997,209.179872212,209.248538453,21958
2019 Oct 02 14:25 Wed,209.233214631,209.393241889,209.17017359,209.335050159,39986
2019 Oct 02 14:30 Wed,209.354447402,209.40294051,209.218666699,209.247762564,37011
2019 Oct 02 14:35 Wed,209.267159807,209.31322826,209.092584617,209.213817388,73200
2019 Oct 02 14:40 Wed,209.213817388,209.364146024,209.213817388,209.34474878,36759
2019 Oct 02 14:45 Wed,209.325351537,209.373844645,209.17017359,209.238063942,22080
2019 Oct 02 14:50 Wed,209.265317069,209.693899161,209.247762564,209.626008809,35409
2019 Oct 02 14:55 Wed,209.596912944,209.713296404,209.475680173,209.529022592,22433
2019 Oct 02 15:00 Wed,209.522330543,209.713296404,209.490228105,209.693899161,24394
2019 Oct 02 15:05 Wed,209.732693647,209.866340654,209.674501917,209.771488134,39480
2019 Oct 02 15:10 Wed,209.800583999,209.905232127,209.684200539,209.718145715,29348
2019 Oct 02 15:15 Wed,209.742392269,210.198227487,209.713296404,210.033350919,33485
2019 Oct 02 15:20 Wed,210.062446784,210.062446784,209.739967614,209.902419527,37618
2019 Oct 02 15:25 Wed,209.868474351,210.140035757,209.790885377,209.941214013,32673
2019 Oct 02 15:30 Wed,209.941214013,210.081844027,209.878172972,210.004255054,34635
2019 Oct 02 15:35 Wed,210.013953676,210.207926109,209.878172972,210.169131622,50512
